,unix_time,test_vol,test_cur,cycle,step_id,step_type,test_capchg,test_capdchg,test_engchg,test_engdchg,test_tmp,test_time,test_etime
45,1648733934.0,3.7868000000000004,0.0669,0,1,1,0.0033495833333333333,0.0,0.012457055555555555,0.0,0,180000,180000
46,1648733938.0,3.7868000000000004,0.067,0,1,1,0.0034240277777777776,0.0,0.012738833333333333,0.0,0,184000,184000
47,1648733942.0,3.7865,0.067,0,1,1,0.003498444444444444,0.0,0.013020638888888889,0.0,0,188000,188000
48,1648733946.0,3.7862,0.067,0,1,1,0.003572861111111111,0.0,0.013302444444444445,0.0,0,192000,192000
49,1648733950.0,3.7862,0.067,0,1,1,0.0036472777777777775,0.0,0.013584222222222221,0.0,0,196000,196000
50,1648733954.0,3.7862,0.067,0,1,1,0.003721722222222222,0.0,0.013866083333333333,0.0,0,200000,200000
51,1648733958.0,3.7859000000000003,0.0669,0,1,1,0.0037961666666666664,0.0,0.014147888888888889,0.0,0,204000,204000
52,1648733962.0,3.7859000000000003,0.067,0,1,1,0.003870611111111111,0.0,0.014429722222222222,0.0,0,208000,208000
53,1648733966.0,3.7859000000000003,0.0669,0,1,1,0.003945027777777777,0.0,0.014711499999999999,0.0,0,212000,212000
54,1648733970.0,3.7859000000000003,0.067,0,1,1,0.004019444444444444,0.0,0.014993222222222222,0.0,0,216000,216000
55,1648733974.0,3.7856,0.0669,0,1,1,0.004093861111111111,0.0,0.015275,0.0,0,220000,220000
56,1648733978.0,3.7856,0.0669,0,1,1,0.004168305555555555,0.0,0.015556722222222222,0.0,0,224000,224000
57,1648733982.0,3.7856,0.067,0,1,1,0.004242722222222222,0.0,0.0158385,0.0,0,228000,228000
58,1648733986.0,3.7856,0.0669,0,1,1,0.004317138888888889,0.0,0.016120166666666668,0.0,0,232000,232000
59,1648733990.0,3.7856,0.067,0,1,1,0.004391555555555556,0.0,0.016401916666666665,0.0,0,236000,236000
60,1648733994.0,3.7853000000000003,0.067,0,1,1,0.0044659999999999995,0.0,0.016683666666666666,0.0,0,240000,240000
61,1648733998.0,3.7853000000000003,0.067,0,1,1,0.0045404166666666666,0.0,0.016965416666666667,0.0,0,244000,244000
62,1648734002.0,3.7853000000000003,0.067,0,1,1,0.004614833333333334,0.0,0.017247111111111112,0.0,0,248000,248000
63,1648734006.0,3.785,0.067,0,1,1,0.0046892777777777775,0.0,0.017528916666666665,0.0,0,252000,252000
64,1648734010.0,3.7853000000000003,0.0669,0,1,1,0.0047636944444444445,0.0,0.017810583333333335,0.0,0,256000,256000
65,1648734014.0,3.785,0.067,0,1,1,0.004838111111111111,0.0,0.01809225,0.0,0,260000,260000
66,1648734018.0,3.785,0.067,0,1,1,0.004912527777777778,0.0,0.018373972222222222,0.0,0,264000,264000
67,1648734022.0,3.785,0.067,0,1,1,0.0049869722222222225,0.0,0.018655722222222223,0.0,0,268000,268000
68,1648734026.0,3.7847000000000004,0.067,0,1,1,0.005061416666666666,0.0,0.018937472222222224,0.0,0,272000,272000
69,1648734030.0,3.7847000000000004,0.0669,0,1,1,0.005135861111111111,0.0,0.019219166666666666,0.0,0,276000,276000
70,1648734034.0,3.7847000000000004,0.067,0,1,1,0.005210277777777778,0.0,0.019500833333333332,0.0,0,280000,280000
71,1648734038.0,3.7841,0.067,0,1,1,0.005284722222222222,0.0,0.019782527777777777,0.0,0,284000,284000
72,1648734042.0,3.7841,0.067,0,1,1,0.005359166666666667,0.0,0.020064222222222223,0.0,0,288000,288000
73,1648734046.0,3.7841,0.067,0,1,1,0.005433611111111111,0.0,0.02034588888888889,0.0,0,292000,292000
74,1648734050.0,3.7841,0.067,0,1,1,0.005508,0.0,0.02062738888888889,0.0,0,296000,296000
75,1648734054.0,3.7837,0.0669,0,1,1,0.005582416666666667,0.0,0.02090897222222222,0.0,0,300000,300000
76,1648734058.0,3.7837,0.0669,0,1,1,0.0056568055555555555,0.0,0.0211905,0.0,0,304000,304000
77,1648734062.0,3.7834000000000003,0.0669,0,1,1,0.005731222222222222,0.0,0.021472055555555557,0.0,0,308000,308000
78,1648734066.0,3.7834000000000003,0.067,0,1,1,0.0058056666666666664,0.0,0.02175363888888889,0.0,0,312000,312000
79,1648734070.0,3.7831,0.067,0,1,1,0.005880055555555555,0.0,0.02203511111111111,0.0,0,316000,316000
80,1648734074.0,3.7831,0.067,0,1,1,0.0059545,0.0,0.02231675,0.0,0,320000,320000
81,1648734078.0,3.7831,0.0669,0,1,1,0.006028916666666667,0.0,0.022598277777777776,0.0,0,324000,324000
82,1648734082.0,3.7831,0.067,0,1,1,0.006103333333333333,0.0,0.022879805555555556,0.0,0,328000,328000
83,1648734086.0,3.7831,0.067,0,1,1,0.00617775,0.0,0.02316136111111111,0.0,0,332000,332000
84,1648734090.0,3.7828000000000004,0.067,0,1,1,0.006252194444444444,0.0,0.023442916666666667,0.0,0,336000,336000
85,1648734094.0,3.7828000000000004,0.067,0,1,1,0.006326611111111111,0.0,0.023724472222222223,0.0,0,340000,340000
86,1648734098.0,3.7828000000000004,0.0669,0,1,1,0.006401027777777778,0.0,0.024006,0.0,0,344000,344000
87,1648734102.0,3.7828000000000004,0.067,0,1,1,0.006475472222222222,0.0,0.024287555555555555,0.0,0,348000,348000
88,1648734106.0,3.7828000000000004,0.067,0,1,1,0.006549861111111111,0.0,0.02456897222222222,0.0,0,352000,352000
89,1648734110.0,3.7828000000000004,0.067,0,1,1,0.0066242777777777775,0.0,0.024850444444444442,0.0,0,356000,356000
90,1648734114.0,3.7825,0.067,0,1,1,0.006698666666666666,0.0,0.025131888888888888,0.0,0,360000,360000
91,1648734118.0,3.7825,0.067,0,1,1,0.006773083333333333,0.0,0.025413361111111112,0.0,0,364000,364000
92,1648734122.0,3.7825,0.067,0,1,1,0.0068475,0.0,0.02569486111111111,0.0,0,368000,368000
93,1648734126.0,3.7825,0.067,0,1,1,0.0069219166666666665,0.0,0.025976333333333334,0.0,0,372000,372000
94,1648734130.0,3.7822,0.0669,0,1,1,0.006996305555555555,0.0,0.026257694444444445,0.0,0,376000,376000
95,1648734134.0,3.7825,0.0669,0,1,1,0.007070722222222222,0.0,0.02653913888888889,0.0,0,380000,380000
96,1648734138.0,3.7825,0.067,0,1,1,0.007145138888888888,0.0,0.026820666666666666,0.0,0,384000,384000
97,1648734142.0,3.7825,0.067,0,1,1,0.0072195555555555554,0.0,0.027102083333333332,0.0,0,388000,388000
98,1648734146.0,3.7822,0.067,0,1,1,0.007293972222222222,0.0,0.027383583333333333,0.0,0,392000,392000
99,1648734150.0,3.7822,0.067,0,1,1,0.007368416666666666,0.0,0.02766511111111111,0.0,0,396000,396000
100,1648734154.0,3.7822,0.0669,0,1,1,0.007442833333333333,0.0,0.027946555555555554,0.0,0,400000,400000
101,1648734158.0,3.7822,0.067,0,1,1,0.007517222222222222,0.0,0.028228,0.0,0,404000,404000
102,1648734162.0,3.7822,0.067,0,1,1,0.007591611111111111,0.0,0.028509333333333334,0.0,0,408000,408000
103,1648734166.0,3.7822,0.067,0,1,1,0.007666027777777778,0.0,0.028790777777777776,0.0,0,412000,412000
104,1648734170.0,3.7822,0.067,0,1,1,0.007740444444444444,0.0,0.02907225,0.0,0,416000,416000
105,1648734174.0,3.7822,0.067,0,1,1,0.007814888888888889,0.0,0.029353805555555557,0.0,0,420000,420000
106,1648734178.0,3.7822,0.0669,0,1,1,0.007889305555555556,0.0,0.029635305555555554,0.0,0,424000,424000
107,1648734182.0,3.7822,0.067,0,1,1,0.00796375,0.0,0.029916805555555554,0.0,0,428000,428000
108,1648734186.0,3.7819000000000003,0.067,0,1,1,0.008038194444444445,0.0,0.03019836111111111,0.0,0,432000,432000
109,1648734190.0,3.7822,0.067,0,1,1,0.00811261111111111,0.0,0.03047988888888889,0.0,0,436000,436000
110,1648734194.0,3.7822,0.067,0,1,1,0.008187055555555555,0.0,0.030761416666666666,0.0,0,440000,440000
111,1648734198.0,3.7822,0.067,0,1,1,0.0082615,0.0,0.031042916666666667,0.0,0,444000,444000
112,1648734202.0,3.7819000000000003,0.067,0,1,1,0.008335944444444444,0.0,0.03132447222222222,0.0,0,448000,448000
113,1648734206.0,3.7819000000000003,0.067,0,1,1,0.008410361111111112,0.0,0.03160594444444444,0.0,0,452000,452000
114,1648734210.0,3.7819000000000003,0.067,0,1,1,0.008484805555555556,0.0,0.03188744444444444,0.0,0,456000,456000
115,1648734214.0,3.7819000000000003,0.067,0,1,1,0.00855925,0.0,0.032168972222222224,0.0,0,460000,460000
116,1648734218.0,3.7819000000000003,0.067,0,1,1,0.008633666666666666,0.0,0.03245047222222222,0.0,0,464000,464000
117,1648734222.0,3.7816,0.067,0,1,1,0.008708111111111111,0.0,0.032732,0.0,0,468000,468000
118,1648734226.0,3.7816,0.067,0,1,1,0.008782555555555556,0.0,0.0330135,0.0,0,472000,472000
119,1648734230.0,3.7816,0.0669,0,1,1,0.008857,0.0,0.033295,0.0,0,476000,476000
120,1648734234.0,3.7813000000000003,0.067,0,1,1,0.008931444444444445,0.0,0.0335765,0.0,0,480000,480000
121,1648734238.0,3.7816,0.067,0,1,1,0.00900586111111111,0.0,0.03385797222222222,0.0,0,484000,484000
122,1648734242.0,3.7813000000000003,0.067,0,1,1,0.009080305555555555,0.0,0.034139444444444444,0.0,0,488000,488000
123,1648734246.0,3.7813000000000003,0.067,0,1,1,0.00915475,0.0,0.03442091666666667,0.0,0,492000,492000
124,1648734250.0,3.7813000000000003,0.067,0,1,1,0.009229166666666667,0.0,0.03470238888888889,0.0,0,496000,496000
125,1648734254.0,3.7813000000000003,0.0669,0,1,1,0.009303611111111111,0.0,0.03498383333333333,0.0,0,500000,500000
126,1648734258.0,3.781,0.0669,0,1,1,0.009378027777777777,0.0,0.035265194444444446,0.0,0,504000,504000
127,1648734262.0,3.781,0.067,0,1,1,0.009452444444444444,0.0,0.03554655555555555,0.0,0,508000,508000
128,1648734266.0,3.781,0.067,0,1,1,0.009526861111111111,0.0,0.03582788888888889,0.0,0,512000,512000
129,1648734270.0,3.781,0.067,0,1,1,0.009601277777777778,0.0,0.036109305555555554,0.0,0,516000,516000
130,1648734274.0,3.781,0.0669,0,1,1,0.009675722222222223,0.0,0.03639075,0.0,0,520000,520000
131,1648734278.0,3.7806,0.0669,0,1,1,0.009750138888888888,0.0,0.036672138888888886,0.0,0,524000,524000
132,1648734282.0,3.7806,0.067,0,1,1,0.009824555555555555,0.0,0.0369535,0.0,0,528000,528000
133,1648734286.0,3.7806,0.0669,0,1,1,0.009898972222222222,0.0,0.03723488888888889,0.0,0,532000,532000
134,1648734290.0,3.7806,0.0669,0,1,1,0.009973361111111112,0.0,0.03751611111111111,0.0,0,536000,536000
135,1648734294.0,3.7806,0.067,0,1,1,0.010047777777777777,0.0,0.03779738888888889,0.0,0,540000,540000
136,1648734298.0,3.7806,0.067,0,1,1,0.010122166666666666,0.0,0.03807863888888889,0.0,0,544000,544000
137,1648734302.0,3.7806,0.067,0,1,1,0.010196583333333334,0.0,0.03836,0.0,0,548000,548000
138,1648734306.0,3.7806,0.067,0,1,1,0.010271,0.0,0.03864136111111111,0.0,0,552000,552000
139,1648734310.0,3.7806,0.067,0,1,1,0.010345444444444444,0.0,0.03892272222222222,0.0,0,556000,556000
140,1648734314.0,3.7806,0.067,0,1,1,0.01041986111111111,0.0,0.039204027777777775,0.0,0,560000,560000
141,1648734318.0,3.7803,0.067,0,1,1,0.01049425,0.0,0.03948527777777778,0.0,0,564000,564000
142,1648734322.0,3.7803,0.067,0,1,1,0.010568666666666667,0.0,0.039766611111111114,0.0,0,568000,568000
143,1648734326.0,3.7803,0.067,0,1,1,0.010643055555555555,0.0,0.04004786111111111,0.0,0,572000,572000
144,1648734330.0,3.7803,0.0669,0,1,1,0.010717472222222222,0.0,0.040329166666666666,0.0,0,576000,576000
145,1648734334.0,3.7803,0.0669,0,1,1,0.010791888888888889,0.0,0.0406105,0.0,0,580000,580000
146,1648734338.0,3.7803,0.0669,0,1,1,0.010866277777777777,0.0,0.040891694444444446,0.0,0,584000,584000
147,1648734342.0,3.7803,0.067,0,1,1,0.010940694444444444,0.0,0.04117297222222222,0.0,0,588000,588000
148,1648734346.0,3.7803,0.067,0,1,1,0.011015083333333333,0.0,0.04145425,0.0,0,592000,592000
149,1648734350.0,3.7803,0.067,0,1,1,0.0110895,0.0,0.04173558333333333,0.0,0,596000,596000
150,1648734354.0,3.7803,0.067,0,1,1,0.011163916666666666,0.0,0.04201686111111111,0.0,0,600000,600000
151,1648734358.0,3.7803,0.067,0,1,1,0.011238333333333333,0.0,0.042298138888888885,0.0,0,604000,604000
152,1648734362.0,3.7803,0.067,0,1,1,0.011312722222222222,0.0,0.04257941666666667,0.0,0,608000,608000
153,1648734366.0,3.7803,0.067,0,1,1,0.01138713888888889,0.0,0.042860694444444444,0.0,0,612000,612000
